2bigdogs	i4x-IITBombayX-CS101_1x-video-bd155f3df2254815ac1f6812f9b4e4bd	698
2bigdogs	i4x-IITBombayX-CS101_1x-video-bed060e42cb34818aff4d9105059341a	79025
2bigdogs	i4x-IITBombayX-CS101_1x-video-d5cc17817ee34678bea3f5da66d00188	2567
2bigdogs	i4x-IITBombayX-CS101_1x-video-d8201d3718a34b3da9986374150dd966	0
2bigdogs	i4x-IITBombayX-CS101_1x-video-e22ca4a334f945b1904881db31172044	1
2bigdogs	i4x-IITBombayX-CS101_1x-video-eccdc5020c6b49c7990bea7d8307b244	80755
2bigdogs	i4x-IITBombayX-CS101_1x-video-f61de37103ab42f2b50f5f5e43489e70	483
2keis	i4x-IITBombayX-CS101_1x-video-40d4b25a7e564565aaa6ef88726aa6e0	1430
2keis	i4x-IITBombayX-CS101_1x-video-5957b78252cc43cfaddef910cf506dd5	2395
2keis	i4x-IITBombayX-CS101_1x-video-62598bbcc58949dabcd68f79f5b3652c	1386
2keis	i4x-IITBombayX-CS101_1x-video-826444194f1542d482c0726f9d080ed3	0
2keis	i4x-IITBombayX-CS101_1x-video-9aa09a2f71a840b4ab4045fdc6286b55	3273
2keis	i4x-IITBombayX-CS101_1x-video-b526cea522c144e3a692d2817126c85b	2782
2keis	i4x-IITBombayX-CS101_1x-video-bed060e42cb34818aff4d9105059341a	4566
2o0z	i4x-IITBombayX-CS101_1x-video-4f62458015584c0bbf904ce09caacc5d	752
2o0z	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	368
2o0z	i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984	1682
2o0z	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	1770
2o0z	i4x-IITBombayX-CS101_1x-video-bd155f3df2254815ac1f6812f9b4e4bd	855
2o0z	i4x-IITBombayX-CS101_1x-video-cfb296bd686b408bb997fb14696235fa	1424
2o0z	i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d	2964
2o0z	i4x-IITBombayX-CS101_1x-video-f61de37103ab42f2b50f5f5e43489e70	9
3DTseTharo	i4x-IITBombayX-CS101_1x-video-4f62458015584c0bbf904ce09caacc5d	1
3DTseTharo	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	101
3DTseTharo	i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984	1
3DTseTharo	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	1
3asheq	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	40
3gfeathers	i4x-IITBombayX-CS101_1x-video-2e83efb1ad5c4ba39a075eca242f6d52	7
3gfeathers	i4x-IITBombayX-CS101_1x-video-4132ae1e4124493c8ab1edbfb6e80dfe	268
3gfeathers	i4x-IITBombayX-CS101_1x-video-527fd874c69e487a87cd3e632b596347	21
3gfeathers	i4x-IITBombayX-CS101_1x-video-688429f0036648f6852fcd2197c30195	1
3gfeathers	i4x-IITBombayX-CS101_1x-video-6eb3c310694649e8b4560ccd18c93ab1	6948
3gfeathers	i4x-IITBombayX-CS101_1x-video-a67819e6acf2456c9059e2e3dbb85555	38
3gfeathers	i4x-IITBombayX-CS101_1x-video-e22ca4a334f945b1904881db31172044	1609
3gfeathers	i4x-IITBombayX-CS101_1x-video-f5a8749c5ff84f59ab71d2cdab36764b	23
4DJ	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	0
518	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	393
518	i4x-IITBombayX-CS101_1x-video-666ac9647c7b4de4802d4310585767ec	2
518	i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984	3602
518	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	364
7305344133	i4x-IITBombayX-CS101_1x-video-0e42365ee4d7497c89acbc7246f95a61	22
7305344133	i4x-IITBombayX-CS101_1x-video-4f62458015584c0bbf904ce09caacc5d	69547
7305344133	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	69649
7305344133	i4x-IITBombayX-CS101_1x-video-9baf3bd2d9fa461a9a488279457037a6	250
7305344133	i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984	69637
