23295salma	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	740.562
23295salma	i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d	896.9874
2bgreen	i4x-IITBombayX-CS101_1x-video-0da35293c921479db06062db258f9b11	617.0
2bgreen	i4x-IITBombayX-CS101_1x-video-4132ae1e4124493c8ab1edbfb6e80dfe	796.9941
2bgreen	i4x-IITBombayX-CS101_1x-video-527fd874c69e487a87cd3e632b596347	877.0
2bgreen	i4x-IITBombayX-CS101_1x-video-688429f0036648f6852fcd2197c30195	527.0
2bgreen	i4x-IITBombayX-CS101_1x-video-6eb3c310694649e8b4560ccd18c93ab1	889.51404
2bgreen	i4x-IITBombayX-CS101_1x-video-7f4a5b8ee172412f8fda3d4284ff14af	544.0
2bgreen	i4x-IITBombayX-CS101_1x-video-9baf3bd2d9fa461a9a488279457037a6	787.0
2bgreen	i4x-IITBombayX-CS101_1x-video-a41e112edb0a40009370c1a874519b24	693.0
2bgreen	i4x-IITBombayX-CS101_1x-video-d5cc17817ee34678bea3f5da66d00188	836.0
2bgreen	i4x-IITBombayX-CS101_1x-video-f5a8749c5ff84f59ab71d2cdab36764b	774.0
2bigdogs	i4x-IITBombayX-CS101_1x-video-666ac9647c7b4de4802d4310585767ec	723.0232
2bigdogs	i4x-IITBombayX-CS101_1x-video-67d60a96857549318894cc744c7bae45	448.61484
2bigdogs	i4x-IITBombayX-CS101_1x-video-7f4a5b8ee172412f8fda3d4284ff14af	546.7255
2bigdogs	i4x-IITBombayX-CS101_1x-video-7f7d0dc837aa4fecbc04c1a8df04ee6e	842.44165
2bigdogs	i4x-IITBombayX-CS101_1x-video-826444194f1542d482c0726f9d080ed3	703.0
2bigdogs	i4x-IITBombayX-CS101_1x-video-d5cc17817ee34678bea3f5da66d00188	861.2599
2bigdogs	i4x-IITBombayX-CS101_1x-video-eccdc5020c6b49c7990bea7d8307b244	694.4609
2keis	i4x-IITBombayX-CS101_1x-video-40d4b25a7e564565aaa6ef88726aa6e0	734.9762
2keis	i4x-IITBombayX-CS101_1x-video-5957b78252cc43cfaddef910cf506dd5	665.43195
2keis	i4x-IITBombayX-CS101_1x-video-9aa09a2f71a840b4ab4045fdc6286b55	861.89484
2keis	i4x-IITBombayX-CS101_1x-video-b526cea522c144e3a692d2817126c85b	897.1972
2keis	i4x-IITBombayX-CS101_1x-video-bed060e42cb34818aff4d9105059341a	557.76654
2o0z	i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984	417.7876
2o0z	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	711.1279
2o0z	i4x-IITBombayX-CS101_1x-video-cfb296bd686b408bb997fb14696235fa	473.32986
2o0z	i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d	897.5751
3asheq	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	309.0
3gfeathers	i4x-IITBombayX-CS101_1x-video-4132ae1e4124493c8ab1edbfb6e80dfe	796.9468
3gfeathers	i4x-IITBombayX-CS101_1x-video-6eb3c310694649e8b4560ccd18c93ab1	889.48975
